DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(0.9m),Dir#1(0.9m),Speed#2(1.4m),Dir#2(1.4m),Speed#3(1.9m),Dir#3(1.9m),Speed#4(2.4m),Dir#4(2.4m),Speed#5(2.9m),Dir#5(2.9m),Speed#6(3.4m),Dir#6(3.4m),Speed#7(3.9m),Dir#7(3.9m),Speed#8(4.4m),Dir#8(4.4m),Speed#9(4.9m),Dir#9(4.9m),Speed#10(5.4m),Dir#10(5.4m),Speed#11(5.9m),Dir#11(5.9m),Speed#12(6.4m),Dir#12(6.4m),Speed#13(6.9m),Dir#13(6.9m),Speed#14(7.4m),Dir#14(7.4m),Speed#15(7.9m),Dir#15(7.9m),Speed#16(8.4m),Dir#16(8.4m),Speed#17(8.9m),Dir#17(8.9m),Speed#18(9.4m),Dir#18(9.4m),Speed#19(9.9m),Dir#19(9.9m),Speed#20(10.4m),Dir#20(10.4m),Speed#21(10.9m),Dir#21(10.9m),Speed#22(11.4m),Dir#22(11.4m),Speed#23(11.9m),Dir#23(11.9m),Speed#24(12.4m),Dir#24(12.4m),Speed#25(12.9m),Dir#25(12.9m),Speed#26(13.4m),Dir#26(13.4m),Speed#27(13.9m),Dir#27(13.9m),Speed#28(14.4m),Dir#28(14.4m),Speed#29(14.8m),Dir#29(14.8m),Speed#30(15.3m),Dir#30(15.3m),Speed#31(15.8m),Dir#31(15.8m),Speed#32(16.3m),Dir#32(16.3m),Speed#33(16.8m),Dir#33(16.8m),Speed#34(17.3m),Dir#34(17.3m),Speed#35(17.8m),Dir#35(17.8m),Speed#36(18.3m),Dir#36(18.3m),Speed#37(18.8m),Dir#37(18.8m),Speed#38(19.3m),Dir#38(19.3m),Speed#39(19.8m),Dir#39(19.8m),Speed#40(20.3m),Dir#40(20.3m)
2020-9-25 10:44,12.1,248.9,30.3,29.6,0.47,24.41,0,0,1.139,178.49,1.366,150.83,1.072,165.74,0.892,152.29,0.854,147,0.645,164.71,1.235,138.45,0.602,148.02,0.592,163.62,0.909,160.47,1.464,138.77,0.907,149.03,1.259,144.21,0.815,137.49,0.979,171.6,0.85,152.77,1.462,153.79,1.03,157.14,1.186,133.12,0.939,138.58,1.112,139.3,1.556,148.03,0.944,179.09,1.583,169.7,1.145,133.16,0.439,152.91,0.777,147.09,0.481,149.92,1.332,156.23,0.829,141.07,0.595,150.16,1.101,135.85,0.594,159.79,0.968,142.38,1.37,138.73,1.561,131.55,0.881,166.67,0.742,140.09,1.385,148.62,1.154,128.6
2020-9-25 10:54,12.1,324.5,1.3,-4,1.338,24.78,2749,777,0.503,263.95,0.471,236.78,0.71,284.86,0.497,267.11,0.497,264.11,0.528,272.17,0.499,271.26,0.505,269.55,0.546,273.88,0.607,276.9,0.538,280.5,0.483,286.71,0.384,289.33,0.224,283.17,0.057,323.53,0.322,323.59,0.362,307.25,0.367,303,0.426,282.47,0.4,279.34,0.485,281.43,0.571,277.75,0.625,285.59,0.557,274.11,0.519,270.99,0.383,276.14,0.566,278.23,0.455,274.28,0.389,258.57,0.482,253.6,0.55,246.65,0.566,237.26,0.677,248.59,1.059,230.82,0.56,265.91,0.517,254.05,0.342,264.12,0.305,241.58,0.557,281.92,0.249,55.8
2020-9-25 11:04,12.1,300.6,2.9,-0.2,1.334,25.11,1831,555,0.573,217.05,0.519,210.32,0.501,245.22,0.675,260.02,0.461,234.27,0.495,248.82,0.461,261.15,0.49,256.19,0.516,265.67,0.588,269.12,0.684,273.77,0.516,277.24,0.541,282.7,0.263,278.53,0.117,264.09,0.479,301.33,0.578,288.03,0.558,283.46,0.581,275.03,0.517,270.22,0.553,260.11,0.525,269.13,0.552,258.83,0.35,256.8,0.53,243.68,0.334,250.05,0.179,249.44,0.44,235.55,0.392,261.04,0.277,207.31,0.511,220.95,0.42,187.38,0.805,210.87,0.155,223.69,0.076,273.76,0.713,231.89,0.388,184.14,0.742,204.87,0.099,111.37,0.2,210.03
2020-9-25 11:14,12.1,291.4,-0.5,-4.7,1.324,25.26,2025,599,0.696,210.88,0.653,217.22,0.624,208.82,0.498,210.37,0.427,206.87,0.465,251.06,0.421,252,0.477,251.03,0.515,251.67,0.559,265.59,0.529,267.83,0.467,276.39,0.391,276.31,0.266,264.4,0.071,299.45,0.446,297.66,0.52,285.72,0.582,279.4,0.486,271.06,0.51,263.24,0.471,268.54,0.437,267.64,0.36,271.59,0.362,253.82,0.336,240.38,0.345,236.36,0.339,241.85,0.22,227.03,0.34,233.97,0.417,204.78,0.487,213.79,0.647,210.17,0.893,213.49,0.414,187.5,0.197,190.51,0.629,189.24,0.465,226.13,0.45,177.96,0.467,177.05,0.258,211.04
2020-9-25 11:24,12.1,289.6,-1.1,-1.7,1.317,25.35,2174,631,0.74,210.45,0.694,198.9,0.635,221.49,0.914,260.24,0.433,230.91,0.522,242.16,0.416,245.9,0.309,244.68,0.477,256.17,0.551,269.58,0.507,276.12,0.512,278.98,0.454,289.15,0.202,271.42,0.082,212.52,0.446,300.77,0.644,289.79,0.465,284.96,0.488,263.53,0.411,254.34,0.418,269.45,0.516,255.75,0.4,249.8,0.349,256.24,0.241,248.86,0.339,249.27,0.319,226.9,0.463,246.31,0.348,229.08,0.168,206.87,0.361,211.97,0.627,217.09,0.844,200.17,0.835,186.26,0.77,208.23,0.291,240.52,0.284,315.57,0.159,294.95,0.66,9.15,0.183,245.82
2020-9-25 11:34,12.1,289,-2.7,-7.1,1.313,25.32,2190,632,0.774,203.35,0.754,206.53,0.817,231.71,0.666,235.4,0.551,219.33,0.64,249.05,0.482,246.52,0.432,255.67,0.455,272.39,0.53,275.41,0.351,285.18,0.388,282.06,0.352,289.77,0.183,259.3,0.043,253.69,0.373,290.38,0.555,293.56,0.423,278.97,0.362,262.07,0.276,254.25,0.298,276.17,0.297,264.79,0.403,269.15,0.215,274.28,0.336,270,0.186,280.22,0.282,263.88,0.36,269.52,0.426,236.5,0.222,223.18,0.416,208.41,0.569,203.86,0.822,219.87,0.6,208.15,0.895,213.34,0.797,208.66,0.605,214.43,0.647,264.41,0.619,135.2,0.704,207.77
2020-9-25 11:44,12.1,284.4,3.6,-3.4,1.308,25.32,2227,638,0.799,211.22,0.904,222.94,0.822,229.04,0.621,233.11,0.569,240.87,0.504,248.11,0.349,245.27,0.377,254.93,0.418,280.75,0.404,278.53,0.475,291.11,0.438,295.57,0.326,291.61,0.213,291.75,0.03,178.09,0.374,299.44,0.676,285.08,0.518,281.46,0.488,277.3,0.332,275.54,0.377,253.05,0.449,258.16,0.466,271.11,0.374,255.78,0.166,266.21,0.119,267.11,0.241,256.08,0.264,243.73,0.328,232.19,0.292,230.7,0.367,216.81,0.565,214.48,0.708,204.61,0.838,201.57,0.592,212.37,0.318,191.63,0.425,238.37,0.257,182.23,0.392,14.92,0.093,202.71
2020-9-25 11:54,12.1,279.7,5.3,-4.2,1.311,25.39,2224,634,0.691,196.99,0.736,213.13,0.621,220.1,0.741,241.91,0.4,217.99,0.431,235.68,0.25,237.58,0.288,244.06,0.465,269.26,0.459,280.8,0.434,284.42,0.336,284.66,0.415,295.39,0.28,281.95,0.09,276.41,0.381,289.01,0.659,285.77,0.526,288.64,0.452,283.18,0.317,256.31,0.327,263.68,0.497,248.13,0.417,254.7,0.383,265.81,0.375,239.53,0.359,263.11,0.303,241.24,0.357,218.41,0.174,198.75,0.216,211.92,0.491,209.54,0.514,203.87,0.834,200.78,0.825,213.13,0.965,166.94,0.239,167.42,0.213,304.66,0.424,180.41,0.863,200.7,0.258,178
2020-9-25 12:04,12.1,283,1.3,-3.2,1.303,25.39,2203,624,0.784,199.29,0.726,209.46,0.638,209.26,0.578,227.53,0.47,226.64,0.38,230.87,0.403,230.43,0.33,240.79,0.357,242.5,0.413,275.42,0.467,285.79,0.431,292.52,0.437,295.8,0.267,302.62,0.063,327.32,0.38,294.88,0.631,283.2,0.57,280.72,0.436,274.47,0.308,262.74,0.358,270.96,0.443,253.73,0.424,265.4,0.509,241.62,0.366,238.74,0.396,236.63,0.323,260.57,0.369,251.86,0.348,247.56,0.354,251.87,0.495,221.39,0.688,208.95,0.874,203.84,1.062,194.78,0.855,195.32,0.608,193.81,0.562,213.75,0.511,247.3,0.91,226.96,0.153,203.89
2020-9-25 12:14,12.1,286,-5.1,-4,1.29,25.39,1920,551,0.739,197.31,0.647,210.69,0.62,223.82,0.901,250.48,0.478,236.34,0.388,236.35,0.487,252.94,0.365,271.41,0.399,275.75,0.402,291.01,0.41,287.33,0.467,296.29,0.402,303.02,0.368,300.19,0.081,308,0.36,291.15,0.766,289.59,0.573,284.35,0.479,286.01,0.322,260.33,0.315,253.58,0.414,260.13,0.364,254.4,0.437,257.17,0.431,239.74,0.373,249.62,0.366,239.79,0.365,244.14,0.524,238.34,0.42,229.83,0.561,214.62,0.635,215.84,0.878,207.85,0.972,204.38,0.935,210.82,0.779,230.47,0.575,236.2,0.58,212.9,0.596,168.58,0.714,247.24
